,Title,Brand,Available,OriginalPrice,SalePrice,Discount,Sku,Link,Category
103,CURVE PORCELAIN WIDE LEG TROUSERS,lama-retail,False,"Rs.3,450.00","Rs.1,380.00",Save 60%,WAS24BT125-T0X-BLU,https://lamaretail.com/collections/banana-road/products/curve-porcelain-wide-leg-trousers-was24bt125-blue,"BANANA ROAD
PRINT SHOP"
104,CURVE HYDRANGEA CHINTZ CULOTTES,lama-retail,True,"Rs.3,450.00","Rs.1,380.00",Save 60%,WAS24BT126-T0X-BLU,https://lamaretail.com/collections/banana-road/products/curve-hydrangea-chintz-culottes-was24bt126-blue,"BANANA ROAD
PRINT SHOP"
105,BLUE FROST BUTTON DOWN SHIRT,lama-retail,True,"Rs.4,450.00","Rs.3,115.00",Save 30%,WAS24TP127-T2X-BLU,https://lamaretail.com/collections/banana-road/products/blue-frost-button-down-shirt-was24tp127-blue,"BANANA ROAD
PRINT SHOP"
106,WHIMSICAL FLORAL CULOTTES,lama-retail,False,"Rs.3,450.00","Rs.2,070.00",Save 40%,WAS24BT120-SML-BLK,https://lamaretail.com/collections/banana-road/products/whimsical-floral-culottes-was24bt120-black,"BANANA ROAD
PRINT SHOP"
107,DAYFLOWERS PRINTED PANTS,lama-retail,False,"Rs.2,950.00","Rs.2,950.00",,WAS24BT111-SML-IVR,https://lamaretail.com/collections/banana-road/products/dayflowers-printed-pants-was24bt111-ivory,"BANANA ROAD
PRINT SHOP"
108,DAYFLOWERS PRINTED SHIRT,lama-retail,False,"Rs.3,450.00","Rs.3,450.00",,WAS24TP111-SML-IVR,https://lamaretail.com/collections/banana-road/products/dayflowers-printed-shirt-was24tp111-ivory,"BANANA ROAD
PRINT SHOP"
109,BLUE FROST CULOTTES,lama-retail,True,"Rs.3,450.00","Rs.1,380.00",Save 60%,WAS24BT127-T0X-BLU,https://lamaretail.com/collections/banana-road/products/blue-frost-culottes-was24bt127-blue,"BANANA ROAD
PRINT SHOP"
110,WHIMSICAL FLORAL WIDE LEG TROUSERS,lama-retail,False,"Rs.3,450.00","Rs.3,450.00",,WAS24BT123-T0X-BLK,https://lamaretail.com/collections/banana-road/products/whimsical-floral-wide-leg-trousers-was24bt123-black,"BANANA ROAD
PRINT SHOP"
111,BOW BLOOM SHIRT,lama-retail,True,"Rs.4,950.00","Rs.4,950.00",,WAS25TP188-SML-PNK,https://lamaretail.com/collections/banana-road/products/vintage-bloom-shirt-was25tp188-pink,"BANANA ROAD
PRINT SHOP"
112,WHIMSICAL FLORAL SHIRT,lama-retail,False,"Rs.4,450.00","Rs.4,450.00",,WAS24TP120-SML-BLK,https://lamaretail.com/collections/banana-road/products/whimsical-floral-shirt-was24tp120-black,"BANANA ROAD
PRINT SHOP"
113,DAHLIA SILKY TOP,lama-retail,False,"Rs.6,950.00","Rs.6,950.00",,WAS24TP114-SML-OWT,https://lamaretail.com/collections/banana-road/products/dahlia-silky-top-was24tp114-off-white,"BANANA ROAD
PRINT SHOP"
114,WHIMSICAL FLORAL MAXI DRESS,lama-retail,False,"Rs.6,450.00","Rs.6,450.00",,WAS24DR118-SML-BLK,https://lamaretail.com/collections/banana-road/products/whimsical-floral-maxi-dress-was24dr118-black,"BANANA ROAD
PRINT SHOP"
115,HYDRANGEA CHINTZ PRINTED TOP,lama-retail,False,"Rs.4,450.00","Rs.3,115.00",Save 30%,WAS24TP126-T0X-BLU,https://lamaretail.com/collections/banana-road/products/hydrangea-chintz-printed-top-was24tp126-blue,"BANANA ROAD
PRINT SHOP"
116,CURVE PORCELAIN PRINTED SHIRT,lama-retail,False,"Rs.4,450.00","Rs.3,115.00",Save 30%,WAS24TP125-T0X-BLU,https://lamaretail.com/collections/banana-road/products/curve-porcelain-printed-shirt-was24tp125-blue,"BANANA ROAD
PRINT SHOP"
117,MAIA CULOTTES,lama-retail,True,"Rs.3,450.00","Rs.2,070.00",Save 40%,WAS24BT121-SML-MRN,https://lamaretail.com/collections/banana-road/products/maia-culottes-was24bt121-maroon,"BANANA ROAD
PRINT SHOP"
